"DateTime","Tasa de Certificado de Depósito a Término (CDT) a 90 días - Monto, diaria"
"2008/04/01",118845.07
"2008/04/02",163320.17
"2008/04/03",211686.96
"2008/04/04",170063.29
"2008/04/07",107298.16
"2008/04/08",171413
"2008/04/09",204625.38
"2008/04/10",80499.52
"2008/04/11",176858.74
"2008/04/14",105074.23
"2008/04/15",90170.37
"2008/04/16",149503.17
"2008/04/17",93109.02
"2008/04/18",105882.34
"2008/04/21",148962.53
"2008/04/22",91355.59
"2008/04/23",140511.4
"2008/04/24",179238.12
"2008/04/25",111055.77
"2008/04/28",126399.49
"2008/04/29",251141.28
"2008/04/30",170245.11
"2008/05/02",46211.32
"2008/05/06",209265.83
"2008/05/07",55305.86
"2008/05/08",144779.2
"2008/05/09",30550.97
"2008/05/12",156554.14
"2008/05/13",151676.52
"2008/05/14",158857.59
"2008/05/15",116294.76
"2008/05/16",38931.39
"2008/05/19",170751.07
"2008/05/20",67179.71
"2008/05/21",110315.76
"2008/05/22",70672.67
"2008/05/23",88123.36
"2008/05/27",187888.11
"2008/05/28",161864.33
"2008/05/29",147783.93
"2008/05/30",50023.34
"2008/06/03",115954.5
"2008/06/04",73662.13
"2008/06/05",74347.55
"2008/06/06",46784.26
"2008/06/09",113508.78
"2008/06/10",112347.09
"2008/06/11",175678.2
"2008/06/12",162068.71
"2008/06/13",84299.68
"2008/06/16",223624.1
"2008/06/17",132990.72
"2008/06/18",145102.27
"2008/06/19",151564.05
"2008/06/20",33312.89
"2008/06/23",117213.81
"2008/06/24",65235.29
"2008/06/25",131829.82
"2008/06/26",209098.4
"2008/06/27",58183.45
"2008/07/01",126096.89
"2008/07/02",82037.32
"2008/07/03",124124.76
"2008/07/04",54279.29
"2008/07/07",127200.02
"2008/07/08",137572.56
"2008/07/09",130159.27
"2008/07/10",93879.89
"2008/07/11",51965.25
"2008/07/14",133014.8
"2008/07/15",91699.47
"2008/07/16",148145.03
"2008/07/17",87688.47
"2008/07/18",48657.31
"2008/07/21",122138.67
"2008/07/22",88639.16
"2008/07/23",115424.92
"2008/07/24",147745.48
"2008/07/25",54111.5
"2008/07/28",130664.36
"2008/07/29",119548.97
"2008/07/30",150714.6
"2008/07/31",46255.86
"2008/08/01",37587.03
"2008/08/04",128109.72
"2008/08/05",69358.16
"2008/08/06",196647.58
"2008/08/08",61988.4
"2008/08/11",143595.5
"2008/08/12",136552.58
"2008/08/13",103456.79
"2008/08/14",98551.94
"2008/08/15",47016.23
"2008/08/19",159411.84
"2008/08/20",97425.18
"2008/08/21",202369.9
"2008/08/22",80557.04
"2008/08/25",156592.98
"2008/08/26",96904.55
"2008/08/27",180561.84
"2008/08/28",292249.42
"2008/08/29",47047.95
"2008/09/01",114005.46
"2008/09/02",64684.1
"2008/09/03",144044.37
"2008/09/04",117466.76
"2008/09/05",172620.83
"2008/09/08",77438.03
"2008/09/09",104452.04
"2008/09/10",93789.55
"2008/09/11",126959.94
"2008/09/12",197583.3
"2008/09/15",171826.58
"2008/09/16",134480.6
"2008/09/17",79753.08
"2008/09/18",87797.8
"2008/09/19",96701.29
"2008/09/22",119334.55
"2008/09/23",61675.19
"2008/09/24",47461.53
"2008/09/25",49539.99
"2008/09/26",70559.09
"2008/09/29",92685.11
"2008/09/30",56953.49
"2008/10/01",46410.39
"2008/10/02",48632.86
"2008/10/03",30861.94
"2008/10/06",143165.78
"2008/10/07",66411.77
"2008/10/08",122536.59
"2008/10/09",99810.3
"2008/10/10",50831.39
"2008/10/14",200100.27
"2008/10/15",151380.86
"2008/10/16",141515.87
"2008/10/17",61955.97
"2008/10/20",210518.08
"2008/10/21",95515.69
"2008/10/22",107309.57
"2008/10/23",182294.38
"2008/10/24",40147.06
"2008/10/27",150017.75
"2008/10/28",73782.08
"2008/10/29",184574.99
"2008/10/30",174857.98
"2008/10/31",71869.23
"2008/11/04",266941.18
"2008/11/05",80408.02
"2008/11/06",147720.65
"2008/11/07",39552.63
"2008/11/10",136733.03
"2008/11/11",73286.28
"2008/11/12",85537.57
"2008/11/13",146321.52
"2008/11/14",48349.33
"2008/11/18",174553.22
"2008/11/19",123555.04
"2008/11/20",130355.54
"2008/11/21",43286.2
"2008/11/24",193121.23
"2008/11/25",100498.21
"2008/11/26",181329.32
"2008/11/27",186927.77
"2008/11/28",133235.75
"2008/12/01",68845.25
"2008/12/02",113811.86
"2008/12/03",166268.34
"2008/12/04",155892.77
"2008/12/05",107688.66
"2008/12/09",283346.42
"2008/12/10",120029.81
"2008/12/11",118219.09
"2008/12/12",253635.77
"2008/12/15",75899.69
"2008/12/16",178283.76
"2008/12/17",156955.99
"2008/12/18",228953.41
"2008/12/19",183374.3
"2008/12/22",73037.69
"2008/12/23",52169.99
"2008/12/24",88963.59
"2008/12/26",164988.18
"2008/12/29",110049.42
"2008/12/30",121200.72
"2009/01/02",181635.33
"2009/01/05",78869.1
"2009/01/06",184843.03
"2009/01/07",153233.01
"2009/01/08",117812.27
"2009/01/09",48338.17
"2009/01/13",266210.47
"2009/01/14",176780.07
"2009/01/15",104034.55
"2009/01/16",124000.51
"2009/01/19",78702.37
"2009/01/20",171196.73
"2009/01/21",163043.93
"2009/01/22",260606.78
"2009/01/23",241182.18
"2009/01/26",65768.48
"2009/01/27",121378.56
"2009/01/28",102265.74
"2009/01/29",160154.65
"2009/01/30",281413.2
"2009/02/02",63253.43
"2009/02/03",40765.44
"2009/02/04",109810.73
"2009/02/05",50048.63
"2009/02/06",92074.29
"2009/02/09",59244.54
"2009/02/10",61124.91
"2009/02/11",77058.1
"2009/02/12",70384.89
"2009/02/13",145137.62
"2009/02/16",75317.78
"2009/02/17",35895.57
"2009/02/18",113709.16
"2009/02/19",91964.56
"2009/02/20",101859.53
"2009/02/23",72998.53
"2009/02/24",44732.52
"2009/02/25",66050.07
"2009/02/26",124476.99
"2009/02/27",183896.64
"2009/03/02",154841.93
"2009/03/03",106897.02
"2009/03/04",202224.4
"2009/03/05",111791.58
"2009/03/06",45983.81
"2009/03/09",167862.29
"2009/03/10",87824.49
"2009/03/11",180044.46
"2009/03/12",258686.41
"2009/03/13",36000.69
"2009/03/16",123706.82
"2009/03/17",132194.92
"2009/03/18",190866.6
"2009/03/19",188722.94
"2009/03/20",33344.55
"2009/03/24",221829.46
"2009/03/25",81938.9
"2009/03/26",158811.41
"2009/03/27",35987.99
"2009/03/30",171667.79
"2009/03/31",47482.79
"2009/04/01",50494.86
"2009/04/02",73420.92
"2009/04/03",89259.73
"2009/04/06",139008.34
