"indicador","valor"
"Correlación inflación-CDT90","0.832601037955618"
"ADF inflación nivel p-value","0.01"
"ADF CDT nivel p-value","0.0104612314406819"
"KPSS inflación nivel p-value","0.01"
"KPSS CDT nivel p-value","0.01"
"ADF inflación diferencia p-value","0.0463326911651458"
"ADF CDT diferencia p-value","0.0137736594902083"
"AIC ARIMAX","14.1873632552745"
"BIC ARIMAX","41.3363836260934"
"Rezagos VAR BIC","2"
"VAR estable","TRUE"
"RMSE ARIMAX","0.363640699822195"
"MAE ARIMAX","0.268434566419369"
"RMSE VAR","2.03507091874101"
"MAE VAR","1.75107806164265"
"Mejor modelo","ARIMAX"
